target,ids,date,flag,user,text
0,0,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,1,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
1,2,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
1,3,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,4,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,5,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
1,6,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
1,7,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,8,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,9,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
1,10,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
1,11,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,12,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,13,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
1,14,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
1,15,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,16,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,17,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
1,18,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
1,19,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,20,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,21,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
1,22,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
1,23,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,24,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,25,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
1,26,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
1,27,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,28,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,29,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
1,30,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
1,31,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,32,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,33,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
1,34,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
1,35,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,36,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,37,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
1,38,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
1,39,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,40,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,41,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
1,42,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
1,43,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,44,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,45,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
1,46,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
1,47,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,48,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,49,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
1,50,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
1,51,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,52,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,53,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
1,54,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
1,55,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,56,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,57,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
1,58,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
1,59,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,60,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,61,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
1,62,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
1,63,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,64,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,65,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
1,66,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
1,67,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,68,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,69,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
1,70,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
1,71,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,72,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,73,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
1,74,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
1,75,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,76,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,77,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
1,78,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
1,79,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,80,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,81,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
1,82,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
1,83,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,84,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,85,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
1,86,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
1,87,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,88,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,89,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
1,90,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
1,91,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,92,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,93,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
1,94,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
1,95,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,96,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,97,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
1,98,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
