target,ids,date,flag,user,text
0,0,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,1,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
4,2,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
4,3,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,4,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,5,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
4,6,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
4,7,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,8,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,9,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
4,10,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
4,11,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,12,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,13,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
4,14,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
4,15,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,16,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,17,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
4,18,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
4,19,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,20,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,21,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
4,22,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
4,23,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,24,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,25,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
4,26,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
4,27,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,28,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,29,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
4,30,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
4,31,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,32,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,33,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
4,34,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
4,35,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,36,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,37,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
4,38,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
4,39,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,40,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,41,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
4,42,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
4,43,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,44,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,45,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
4,46,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
4,47,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,48,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,49,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
4,50,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
4,51,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,52,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,53,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
4,54,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
4,55,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,56,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,57,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
4,58,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
4,59,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,60,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,61,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
4,62,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
4,63,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,64,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,65,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
4,66,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
4,67,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,68,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,69,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
4,70,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
4,71,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,72,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,73,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
4,74,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
4,75,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,76,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,77,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
4,78,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
4,79,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,80,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,81,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
4,82,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
4,83,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,84,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,85,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
4,86,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
4,87,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,88,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,89,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
4,90,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
4,91,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,92,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,93,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
4,94,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
4,95,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Having a great time!
0,96,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,Sad day. RIP
0,97,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,I hate when people are late
4,98,Mon May 11 03:17:40 UTC 2009,NO_QUERY,_TheSpecialOne_,This is awesome!
